date,0,1,2,3,4,5,6
5/2/2021,-0.31706462,0.34989115,2.040085132,-1.310950562,0.123157938,0.251485745,1.136604783
5/9/2021,-0.517487353,0.54080823,1.840267642,-1.516657431,0.151155715,0.25149744,0.749584243
5/16/2021,-0.642453584,0.496071173,1.557166475,-1.722527984,0.1793078,0.25149922,0.1190631
5/23/2021,0.29251616,0.136791018,1.201317777,-1.927739119,0.207606958,0.251491119,0.161983913
5/30/2021,0.737213194,-0.366908031,0.793461224,-2.131467732,0.236045953,0.25147317,-0.480182222
6/6/2021,0.715851719,-0.79648902,0.35556469,-2.332890718,0.264617548,0.251445405,-1.541900376
6/13/2021,0.476807038,-1.04853827,-0.090403951,-2.531184975,0.293314508,0.251407859,-2.648597791
6/20/2021,-0.053439885,-1.049395608,-0.522476826,-2.725527399,0.322129596,0.251360564,-3.777349557
6/27/2021,-0.734944736,-0.723892767,-0.920194153,-2.915094886,0.351055577,0.251303554,-4.691767411
7/4/2021,0.654236687,-0.081433549,-1.270213713,-3.099064332,0.380085214,0.251236861,-3.165152831
7/11/2021,-0.096345168,0.56745392,-1.56504215,-3.276612635,0.409211272,0.25116052,-3.710174241
7/18/2021,-0.403124522,1.060778401,-1.798271301,-3.44691669,0.438426513,0.251074562,-3.898033037
7/25/2021,-0.000981028,1.334017908,-1.965033192,-3.609153393,0.467723704,0.250979021,-3.522446981
8/1/2021,0.149279748,1.473386137,-2.066620611,-3.762499642,0.497095606,0.250873931,-3.45848483
8/8/2021,-0.071460203,1.549749446,-2.105866536,-3.906132333,0.526534984,0.250759325,-3.756415316
8/15/2021,-0.01994451,1.461149723,-2.086337552,-4.039228361,0.556034603,0.250635235,-3.877690862
8/22/2021,0.052469721,1.209799881,-2.014507702,-4.160991584,0.585587225,0.250501696,-4.077140763
8/29/2021,-0.131803674,0.831198584,-1.897373167,-4.270837329,0.615185615,0.250358739,-4.603271231
9/5/2021,-0.162352017,0.339022195,-1.741488659,-4.368622389,0.644822538,0.250206399,-5.038411933
9/12/2021,0.091490337,-0.239532536,-1.553305262,-4.454307188,0.674490756,0.250044708,-5.231119185
9/19/2021,0.132646848,-0.839463082,-1.33927406,-4.527852148,0.704183034,0.2498737,-5.619885708
9/26/2021,0.369908571,-1.412300389,-1.105846138,-4.589217692,0.733892135,0.249693408,-5.753870103
10/3/2021,0.036243701,-1.878102536,-0.859472579,-4.638364241,0.763610825,0.249503865,-6.326580966
10/10/2021,-0.433021688,-2.004169788,-0.606350112,-4.675252219,0.793331866,0.249305104,-6.676156837
10/17/2021,-0.22573062,-1.599204311,-0.351591224,-4.699838616,0.823044591,0.249097159,-5.804223021
10/24/2021,-0.104586899,-0.786712705,-0.099786784,-4.712060153,0.852718062,0.248880062,-4.601548417
10/31/2021,0.396602262,0.231160909,0.144539151,-4.711823947,0.882291739,0.248653847,-2.808576039
11/7/2021,-0.373055813,1.226552877,0.376862527,-4.699030573,0.911698537,0.248418547,-2.308553898
11/14/2021,-0.098973571,1.930984928,0.59265929,-4.673580606,0.940871372,0.248174194,-1.059864392
11/21/2021,-0.002945962,2.299313311,0.787405384,-4.635374618,0.96974316,0.247920824,-0.333937901
11/28/2021,0.316096866,2.348657787,0.956576753,-4.584313184,0.998246816,0.247658467,0.282923505
12/5/2021,-0.102686644,2.111847488,1.09648804,-4.520296879,1.026315256,0.247387159,-0.14094558
12/12/2021,-0.249108562,1.68454902,1.206808673,-4.443226276,1.053881395,0.247106931,-0.499988818
12/19/2021,-0.250382742,1.176355823,1.288046777,-4.35300195,1.08087815,0.246817817,-0.811286124
12/26/2021,0.218298912,0.666093014,1.340710476,-4.249524474,1.107238436,0.246519851,-0.670663786
1/2/2022,0.213826372,0.144522074,1.365307895,-4.132694424,1.132895168,0.246213065,-1.029929849
1/9/2022,0.207012,-0.387533467,1.362347159,-4.002412373,1.157781264,0.245897492,-1.416907925
1/16/2022,-0.135875141,-0.890744144,1.332402632,-3.858645133,1.181829637,0.245573166,-2.125458984
1/23/2022,0.138181248,-1.227926297,1.276313629,-3.701624472,1.204973204,0.24524012,-2.064842567
1/30/2022,-0.165511295,-1.383304458,1.195073223,-3.531735909,1.22714488,0.244898387,-2.413435171
2/6/2022,0.216873975,-1.658336357,1.09002455,-3.34971503,1.248277582,0.244548001,-2.208327279
2/13/2022,0.044732558,-2.116638168,0.962598261,-3.156384938,1.268304225,0.244188994,-2.753199068
2/20/2022,-0.346491139,-2.566242061,0.814225011,-2.952568734,1.287157724,0.243821399,-3.5200978
2/27/2022,0.393998301,-2.825951038,0.646335451,-2.73908952,1.304770996,0.24344525,-2.976490559
3/6/2022,0.192296818,-2.929417315,0.460360234,-2.516770398,1.321076956,0.243060581,-3.229393125
3/13/2022,-0.111719746,-2.917239229,0.257655291,-2.28643447,1.336008519,0.242667423,-3.479062211
3/20/2022,-0.395074993,-2.817721789,0.039734283,-2.048904837,1.349498602,0.242265811,-3.630202923
